airport,city
TTN,"Trenton, NJ"
PIE,"St. Petersburg, FL"
IAG,"Niagara Falls, NY"
USA,"Concord, NC"
SFB,"Sanford, FL"
BLV,"Belleville, IL"
RFD,"Rockford, IL"
FWA,"Fort Wayne, IN"
LCK,"Columbus, OH"
PGD,"Punta Gorda, FL"
FNT,"Flint, MI"
PVU,"Provo, UT"
MOT,"Minot, ND"
PBG,"Plattsburgh, NY"
AZA,"Phoenix, AZ"
TOL,"Toledo, OH"
PIA,"Peoria, IL"
SBN,"South Bend, IN"
BLI,"Bellingham, WA"
PSM,"Portsmouth, NH"
CKB,"Clarksburg/Fairmont, WV"
LRD,"Laredo, TX"
RAP,"Rapid City, SD"
SMX,"Santa Maria, CA"
IDA,"Idaho Falls, ID"
GRI,"Grand Island, NE"
SCK,"Stockton, CA"
SPI,"Springfield, IL"
ITO,"Hilo, HI"
PPG,"Pago Pago, TT"
COU,"Columbia, MO"
LBB,"Lubbock, TX"
ACT,"Waco, TX"
SHV,"Shreveport, LA"
MAF,"Midland/Odessa, TX"
GRK,"Killeen, TX"
LAW,"Lawton/Fort Sill, OK"
MHK,"Manhattan/Ft. Riley, KS"
ABI,"Abilene, TX"
GJT,"Grand Junction, CO"
CRP,"Corpus Christi, TX"
HHH,"Hilton Head, SC"
SJT,"San Angelo, TX"
EVV,"Evansville, IN"
BRO,"Brownsville, TX"
CMI,"Champaign/Urbana, IL"
CLL,"College Station/Bryan, TX"
SAF,"Santa Fe, NM"
FSM,"Fort Smith, AR"
BPT,"Beaumont/Port Arthur, TX"
ACY,"Atlantic City, NJ"
LBE,"Latrobe, PA"
CAK,"Akron, OH"
MHT,"Manchester, NH"
ASE,"Aspen, CO"
SGU,"St. George, UT"
GCK,"Garden City, KS"
LCH,"Lake Charles, LA"
SWO,"Stillwater, OK"
MFR,"Medford, OR"
ROW,"Roswell, NM"
TYR,"Tyler, TX"
TXK,"Texarkana, AR"
GGG,"Longview, TX"
FLG,"Flagstaff, AZ"
DRO,"Durango, CO"
YUM,"Yuma, AZ"
HLN,"Helena, MT"
ALW,"Walla Walla, WA"
SUN,"Sun Valley/Hailey/Ketchum, ID"
DLH,"Duluth, MN"
MBS,"Saginaw/Bay City/Midland, MI"
PIH,"Pocatello, ID"
ABY,"Albany, GA"
BQK,"Brunswick, GA"
LWS,"Lewiston, ID"
TWF,"Twin Falls, ID"
GTF,"Great Falls, MT"
ELM,"Elmira/Corning, NY"
CSG,"Columbus, GA"
CIU,"Sault Ste. Marie, MI"
HIB,"Hibbing, MN"
ABR,"Aberdeen, SD"
ESC,"Escanaba, MI"
INL,"International Falls, MN"
CPR,"Casper, WY"
BRD,"Brainerd, MN"
APN,"Alpena, MI"
PLN,"Pellston, MI"
RHI,"Rhinelander, WI"
IMT,"Iron Mountain/Kingsfd, MI"
XWA,"Williston, ND"
CDC,"Cedar City, UT"
BJI,"Bemidji, MN"
EKO,"Elko, NV"
BTM,"Butte, MT"
ACV,"Arcata/Eureka, CA"
DIK,"Dickinson, ND"
LNK,"Lincoln, NE"
CYS,"Cheyenne, WY"
CMX,"Hancock/Houghton, MI"
PIB,"Hattiesburg/Laurel, MS"
JST,"Johnstown, PA"
CNY,"Moab, UT"
HYS,"Hays, KS"
SLN,"Salina, KS"
VCT,"Victoria, TX"
LAR,"Laramie, WY"
DEC,"Decatur, IL"
DVL,"Devils Lake, ND"
JMS,"Jamestown, ND"
JLN,"Joplin, MO"
LBF,"North Platte, NE"
FOD,"Fort Dodge, IA"
MCW,"Mason City, IA"
MEI,"Meridian, MS"
PRC,"Prescott, AZ"
VEL,"Vernal, UT"
GCC,"Gillette, WY"
SUX,"Sioux City, IA"
DDC,"Dodge City, KS"
LBL,"Liberal, KS"
BFF,"Scottsbluff, NE"
RIW,"Riverton/Lander, WY"
RKS,"Rock Springs, WY"
SHR,"Sheridan, WY"
SCE,"State College, PA"
BIH,"Bishop, CA"
RDD,"Redding, CA"
OTH,"North Bend/Coos Bay, OR"
SPS,"Wichita Falls, TX"
GUM,"Guam, TT"
SPN,"Saipan, TT"
OME,"Nome, AK"
OTZ,"Kotzebue, AK"
BET,"Bethel, AK"
BRW,"Barrow, AK"
SCC,"Deadhorse, AK"
CDV,"Cordova, AK"
YAK,"Yakutat, AK"
PSG,"Petersburg, AK"
WRG,"Wrangell, AK"
ADQ,"Kodiak, AK"
SWF,"Newburgh/Poughkeepsie, NY"
HTS,"Ashland, WV"
HGR,"Hagerstown, MD"
STC,"St. Cloud, MN"
ADK,"Adak Island, AK"
